id,card01,card02,card03,card04,card05,card06,card07,card08,card09,card10,card11,card12,sub
0,4997.56,0,84.4,429.58,0,0.3,0,417.49,0,12.3,839.68,3213.81,0
1,6182.69,0,324.2,265.97,29.3,96.4,0,119.4,25.02,22.5,514.3,4785.6,0
8,11472.37,0,425.9,2440.94,0,2.6,0,2211.45,4.5,39.83,10,6337.15,0
9,14502.91,122.26,113.73,4754.68,0,294.4,0,158.1,23.82,36.32,0,8999.6,0
10,6028.74,0,272.6,750.34,1.3,0,0,486.3,65.36,143.9,242.8,4066.14,0
11,5976.2,0,134.8,928.21,0,4,0,989.25,9.24,164.2,107.7,3638.8,0
19,3331.06,0,65.4,264.69,0,17.7,0,8.9,0,14.9,628.16,2331.31,0
20,6393.73,0,40.7,700.86,43.6,0,0,150.73,4.9,34.1,679.8,4739.04,0
21,3165.76,0,96,288.51,0,0,0,209.5,0,13,356.2,2202.55,0
22,11328.89,0,294.1,1000.95,10,0.5,0,173.49,7.38,54.8,468.3,9319.37,1000
23,10959.76,0,70.3,1073.39,45.4,45.2,0,448.9,4.26,113.1,315.1,8844.11,1500
28,6401.58,0,292.5,509.83,4.53,2.8,0,160.98,10.26,47,869.1,4504.58,1000
29,3845.78,3,155.6,178.54,13.2,7.25,0,123.56,10.8,24.8,273.8,3055.23,0
36,10576.95,0,44.3,1149.48,22.21,12.1,0,217.41,30.76,84.89,522.56,8493.24,0
37,14349.76,0,266.4,1275.8,19.3,6.65,0,536.3,36.48,103.3,1187.47,10918.06,0
56,2102.8,0,161.3,149.5,0,98.4,0,19.1,0,0,74.7,1599.8,0
57,812.4,0,6.7,80.4,0,6,0,42.7,3.6,0.6,146.4,526,0
62,5380.29,0,65.4,195.78,0,12,0,116.15,8.76,58.54,1046.04,3877.62,0
63,,,,,,,,,,,,,0
64,8519.63,0,59.7,838.95,13.36,2.93,0,169.88,43.64,77.82,355,6958.35,1500
65,6609.66,0,27.7,498.92,0,0.4,0,545.8,27.72,59.6,343.36,5106.16,0
66,9013.11,7.5,80.5,1040.5,0,0.45,0,87.3,1.32,222,757.2,6816.34,0
67,10355.62,0,133.4,645.47,12,80.05,0,1073.4,0,236.8,1645.7,6528.8,0
70,8103.42,0,150.9,615.11,66.8,8.5,0,306.1,24.48,58,996.1,5877.43,0
71,2943.28,0,84.2,99.96,0,0.15,0,82.95,37.2,39.2,288.2,2311.42,0
74,8762.43,3.7,181,590.2,0.35,2.6,0,403.1,16.86,13.9,1001.3,6549.42,0
75,10247.03,71.08,118,1108.26,0,1.95,0,1036.17,0,206.5,1050.7,6654.37,0
76,11467.33,0.8,281.4,223.97,0,4.7,0,73.46,30.9,33.2,3827.4,6991.5,0
